"skill_id","skills","demand_skill","avg_salary"
8,"go","27","115319.89"
97,"hadoop","22","113192.57"
80,"snowflake","37","112947.97"
74,"azure","34","111225.10"
76,"aws","32","108317.30"
4,"java","17","106906.44"
233,"jira","20","104917.90"
79,"oracle","37","104533.70"
185,"looker","49","103795.30"
1,"python","236","101397.22"
5,"r","148","100498.77"
78,"redshift","16","99936.44"
182,"tableau","230","99287.65"
186,"sas","63","98902.37"
7,"sas","63","98902.37"
61,"sql server","35","97785.73"
9,"javascript","20","97587.00"
183,"power bi","110","97431.30"
0,"sql","398","97237.16"
215,"flow","28","97200.00"
201,"alteryx","17","94144.53"
199,"spss","24","92169.68"
22,"vba","24","88783.29"
196,"powerpoint","58","88701.09"
181,"excel","256","87288.21"
192,"sheets","32","86087.79"
188,"word","48","82576.04"
195,"sharepoint","18","81633.58"
